#GBE_ID	GBE_N	GBE_NAME
INI23249	3100	Arm_fat_mass_(left)
INI23253	3100	Arm_fat_mass_(right)
BIN3571	59447	Back_pain_for_3+_months
INI23104	331462	Body_mass_index_(BMI)
BIN_FC10001677	182996	Breastfed_as_a_baby
BIN2453	27556	Cancer_diagnosed_by_doctor
BIN_FC10003616	16017	Chest_pain_due_to_walking_ceases_when_standing_still
BIN2335	337149	Chest_pain_or_discomfort
BIN4792	107	Cochlear_implant
QT_FC21050	20975	Degree_bothered_by_menstrual_cramps_or_other_problems_with_period_in_the_last_3_months
QT_FC21057	79758	Degree_bothered_by_pain/problems_during_intercourse_in_the_last_3_months
BIN2443	16594	Diabetes_diagnosed_by_doctor
QT_FC1003476	23454	Difficulty_not_smoking_for_1_day
BIN_FC10004598	70781	Ever_depressed_for_a_whole_week
BIN3591	13542	Ever_had_hysterectomy_(womb_removed)
BIN_FC1002159	10143	Ever_had_same-sex_intercourse
BIN2774	56353	Ever_had_stillbirth,_spontaneous_miscarriage_or_termination
BIN_FC10004653	22674	Ever_highly_irritable/argumentative_for_2_days
BIN_FC10004642	6932	Ever_manic/hyper_for_2_days
BIN_FC10004631	47214	Ever_unenthusiastic/disinterested_for_a_whole_week
BIN2814	71759	Ever_used_hormone-replacement_therapy_(HRT)
BIN4067	2948	Facial_pains_for_3+_months
BIN_FC10001960	137284	Fed-up_feelings
BIN2463	33631	Fractured/broken_bones_in_last_5_years
BIN4041	645	Gestational_diabetes_only
BIN_FC10002030	95955	Guilty_feelings
BIN_FC10002415	100818	Had_major_operations
BIN3799	30496	Headaches_for_3+_months
BIN3393	11152	Hearing_aid_user
BIN2257	127769	Hearing_difficulty/problems_with_background_noise
BIN3414	30383	Hip_pain_for_3+_months
BIN_FC10001940	92929	Irritability
BIN3773	57840	Knee_pain_for_3+_months
INI23266	3100	Leg_fat_mass_(left)
INI23270	3100	Leg_fat_mass_(right)
BIN_FC10005463	9380	Leg_pain_in_calf/calves
BIN_FC10004728	29746	Leg_pain_on_walking
BIN_FC10005452	17998	Leg_pain_when_standing_still_or_sitting
BIN_FC10005496	5766	Leg_pain_when_walking_ever_disappears_while_walking
BIN_FC10005485	16361	Leg_pain_when_walking_normally
BIN_FC10005474	19484	Leg_pain_when_walking_uphill_or_hurrying
BIN_FC10002020	60768	Loneliness,_isolation
BIN2188	109456	Long-standing_illness,_disability_or_infirmity
BIN_FC10001930	144545	Miserableness
BIN_FC10001920	151574	Mood_swings
HC90	187	myasthenia_gravis
BIN3404	53872	Neck/shoulder_pain_for_3+_months
BIN_FC10001970	79710	Nervous_feelings
BIN2473	69970	Other_serious_medical_condition/disability_diagnosed_by_doctor
BIN_FC10002040	85124	Risk_taking
BIN_FC10002100	38883	Seen_a_psychiatrist_for_nerves,_anxiety,_tension_or_depression
BIN_FC10002090	117191	Seen_doctor_(GP)_for_nerves,_anxiety,_tension_or_depression
BIN_FC10001950	185019	Sensitivity_/_hurt_feelings
BIN3741	15771	Stomach/abdominal_pain_for_3+_months
BIN_FC10002010	71402	Suffer_from_'nerves'
BIN_FC10005529	1036	Surgery_on_leg_arteries_(other_than_for_varicose_veins)
BIN_FC10001990	57630	Tense_/_'highly_strung'
INI23284	3694	Trunk_fat_mass
BIN_FC10002207	303229	Wears_glasses_or_contact_lenses
INI23098	331467	Weight
BIN2316	337150	Wheeze_or_whistling_in_the_chest_in_last_year
BIN_FC10001980	189254	Worrier_/_anxious_feelings
BIN_FC10002000	158258	Worry_too_long_after_embarrassment
BIN826	337151	Job_involves_shift_work
INI189	336752	Townsend_deprivation_index_at_recruitment
INI3659	5580	Year_immigrated_to_UK_(United_Kingdom)
INI5364	95193	Average_weekly_intake_of_other_alcoholic_drinks
