#GBE_ID	GBE_N	GBE_NAME	PATH
BIN10030500	23590	Microalbumin_higher_than_40_mg/L	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030500.phe
BIN10030510	14248	UACR_higher_than_30_mg/g	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030510.phe
BIN10030800	38696	Oestradiol_higher_than_212_pmol/L	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030800.phe
BIN10030820	16700	Rheumatoid_factor_higher_than_16_IU/mL	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030820.phe
BIN1020483	2433	Ever_attempted_suicide_missing_is_control	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/10484/phe/BIN1020483.phe
BIN1210	119602	Snoring	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/9797/phe/BIN1210.phe
BIN1677	182996	Breastfed_as_a_baby	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1677.phe
BIN1920	151574	Mood_swings	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1920.phe
BIN1930	144545	Miserableness	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1930.phe
BIN1940	92929	Irritability	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1940.phe
BIN1950	185019	Sensitivity_/_hurt_feelings	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1950.phe
BIN1960	137284	Fed-up_feelings	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1960.phe
BIN1990	57630	Tense_/_'highly_strung'	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1990.phe
BIN2010	71402	Suffer_from_'nerves'	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2010.phe
BIN2030	95955	Guilty_feelings	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2030.phe
BIN2090	117191	Seen_doctor_(GP)_for_nerves,_anxiety,_tension_or_depression	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2090.phe
BIN2100	38883	Seen_a_psychiatrist_for_nerves,_anxiety,_tension_or_depression	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2100.phe
BIN2207	303229	Wears_glasses_or_contact_lenses	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2207.phe
BIN_FC10001259	31369	Smoking/smokers_in_household	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10001259.phe
BIN_FC10001767	4609	Adopted_as_a_child	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN_FC10001767.phe
BIN_FC10001777	7389	Part_of_a_multiple_birth	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN_FC10001777.phe
BIN_FC10001797	76102	Father_still_alive	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10001797.phe
BIN_FC10001835	130985	Mother_still_alive	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10001835.phe
BIN_FC100020544	330	Bulimia_nervosa_diagnosed_by__a_professional	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN_FC100020544.phe
BIN_FC10002188	110684	Long-standing_illness,_disability_or_infirmity	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10002188.phe
BIN_FC10002227	51971	Other_eye_problems	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN_FC10002227.phe
BIN_FC10002257	129397	Hearing_difficulty/problems_with_background_noise	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10002257.phe
BIN_FC10002316	71185	Wheeze_or_whistling_in_the_chest_in_last_year	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN_FC10002316.phe
BIN_FC10002335	54014	Chest_pain_or_discomfort	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN_FC10002335.phe
BIN_FC10002345	118919	Ever_had_bowel_cancer_screening	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10002345.phe
BIN_FC10002443	16890	Diabetes_diagnosed_by_doctor	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10002443.phe
BIN_FC10002453	28171	Cancer_diagnosed_by_doctor	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10002453.phe
BIN_FC10002463	34441	Fractured/broken_bones_in_last_5_years	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10002463.phe
BIN_FC10002473	70783	Other_serious_medical_condition/disability_diagnosed_by_doctor	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10002473.phe
BIN_FC10002492	163563	Taking_other_prescription_medications	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10002492.phe
BIN_FC10002644	42288	Light_smokers,_at_least_100_smokes_in_lifetime	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/phe/BIN_FC10002644.phe
