pheno	n	beta2	auc	pearsonr	spearmanr
BIN1210	8243	0.9421224375607128	0.6100814351775097	na	-0.008366565221616195
BIN1677	14204	1.0054441398160145	0.6152979479280158	na	0.0008697967115707765
BIN1920	10921	1.3057906217787882	0.5572914542083348	na	0.004754780096155416
BIN1930	10488	1.0866184823825584	0.5810960220741385	na	0.0033210816943294295
BIN1940	7366	1.2378725175738334	0.5673246362963624	na	0.0006818942350952889
BIN1950	13147	1.1591804673821264	0.5731349177492727	na	0.0031172556874081657
BIN1960	9553	0.9294229314667716	0.5609869038040021	na	-0.013460154935314904
BIN1970	6132	0.9692203780068556	0.5405697000415393	na	0.003337404611449129
BIN1980	13972	0.9188208892180741	0.5723529183361469	na	0.0005995055609828145
BIN1990	5243	0.9534692005251466	0.5304552754865889	na	-0.0041835812533737885
BIN2000	11646	0.970100253495148	0.560692507876528	na	-0.000894544218334161
BIN2010	4960	0.9593988987683005	0.5428867854625166	na	0.0034455131046576054
BIN2020	5271	1.0579127522483769	0.5519484120150694	na	0.007417880287797376
BIN2030	7753	0.9388106287849465	0.5630525211036685	na	-0.012614353740858914
BIN2040	8855	1.0493645390749924	0.5884716091483416	na	-0.0254967698240305
BIN20499	3573	0.8917757484960799	0.6027752264650768	na	0.009187915034344208
BIN2090	8480	1.1009059435266122	0.5770249010152846	na	-0.004616700600332984
BIN21035	2605	0.6210249564395335	0.5960152253583001	na	-0.010133644529897099
BIN21068	213	5.257281622722943	0.6205026474056384	na	0.034858425875939916
BIN22126	1421	0.6399185613388879	0.5539241851358254	na	-0.015055985837243501
BIN22127	793	1.5566025048871273	0.5295928026835663	na	0.01780603073727739
BIN22504	579	1.018459774724142	0.5906180377654076	na	-0.019690523573473236
BIN3606	892	0.9323868070792901	0.5710333479391775	na	-0.007636121284345428
BIN4598	6220	0.9524420612476489	0.5786376499944212	na	-0.005420034701715561
BIN4642	855	0.9682594632057752	0.6080857201875173	na	0.0011640306806619642
BIN4653	2312	0.8997358231333255	0.587955028080501	na	0.0006309858208061392
