pheno	n	beta2	auc	pearsonr	spearmanr
BIN1210	85399	0.9889861666862022	0.6086438907612576	na	-0.006850966370776523
BIN1677	128182	0.9107618247559299	0.6345375001014192	na	-0.010583831500715908
BIN1920	106514	1.0440491905721427	0.5774228344859185	na	0.02096772665857508
BIN1930	101762	1.029069421578567	0.605773191235573	na	0.008234237145799217
BIN1940	65492	1.0502483990842297	0.5779210892607041	na	0.013476869566611612
BIN1950	130042	1.075870705238686	0.6052127027372852	na	0.005062164107863924
BIN1960	96478	0.9867919537363906	0.5803006040541385	na	-0.0011867670083124434
BIN1970	56175	0.9162923930139937	0.5579677215754867	na	-0.004325361208040245
BIN1980	132961	1.0118125332485743	0.5867565694397059	na	0.003828105038834378
BIN1990	40534	1.0327889049861294	0.5519932127691102	na	0.0038095962521880133
BIN2000	111611	0.884902234875113	0.5853077909221716	na	-0.012782988236987796
BIN2010	50451	0.9773531651836045	0.5459784968880775	na	0.001280161917897815
BIN2020	42787	1.1436219987955787	0.5740018947218554	na	0.014811817258626635
BIN2030	67720	0.9891866366698896	0.5929118125183336	na	0.0022405080743691675
BIN2040	59914	0.9773020116360897	0.627023665497186	na	-0.0046789916288420014
BIN20499	29876	1.1617629970974301	0.6235885215595801	na	0.013407163553171814
BIN2090	82526	0.894544214224788	0.5977918390513741	na	-0.009312189734591372
BIN21035	24699	0.9232118175407443	0.6214896083347037	na	-0.013965438905430604
BIN21068	1601	4.890138006716923	0.6491145303622602	na	0.05399504489987644
BIN22126	13764	0.8361493398882428	0.5676754932909728	na	-0.045201129520471
BIN22127	7608	1.2852211470517527	0.5571244828982749	na	0.03888089929542684
BIN22504	5048	0.9115298328464637	0.6049037241540359	na	-0.020799470343394102
BIN3606	6509	1.314202676120392	0.5845709344765019	na	0.019229492978204022
BIN4598	51629	0.8794962565114669	0.5833468500164212	na	-0.016938229791919952
BIN4642	4916	1.0916990814136018	0.6072681034717324	na	0.011500459220240499
